times: 4 distance(final output)0.48745313 distance_chess0.37240306
 Equal: Falsetimes: 9 distance(final output)2.1982422 distance_chess2.1775944
 Equal: Falsetimes: 14 distance(final output)0.14571111 distance_chess0.1249066
 Equal: Falsetimes: 19 distance(final output)2.4276354 distance_chess2.4275203
 Equal: Falsetimes: 24 distance(final output)1.4382027 distance_chess1.4379525
 Equal: Falsetimes: 29 distance(final output)2.4057822 distance_chess2.2404814
 Equal: Falsetimes: 34 distance(final output)1.3113314 distance_chess1.2188575
 Equal: Falsetimes: 39 distance(final output)2.0032873 distance_chess1.6130861
 Equal: Falsetimes: 44 distance(final output)1.572162 distance_chess1.2636311
 Equal: Falsetimes: 49 distance(final output)1.7717514 distance_chess1.5588635
 Equal: Falsetimes: 54 distance(final output)2.0539753 distance_chess1.9282717
 Equal: Falsetimes: 59 distance(final output)1.9768294 distance_chess1.9184393
 Equal: Falsetimes: 64 distance(final output)0.5717242 distance_chess0.5433631
 Equal: Falsetimes: 69 distance(final output)1.4712667 distance_chess1.4611932
 Equal: Falsetimes: 74 distance(final output)1.2406589 distance_chess1.2249717
 Equal: Falsetimes: 79 distance(final output)2.8735325 distance_chess2.4154875
 Equal: Falsetimes: 84 distance(final output)1.290327 distance_chess1.0991015
 Equal: Falsetimes: 89 distance(final output)0.634062 distance_chess0.6337174
 Equal: Falsetimes: 94 distance(final output)1.4581032 distance_chess1.3187149
 Equal: Falsetimes: 99 distance(final output)2.0921915 distance_chess2.092085
 Equal: Falsetimes: 104 distance(final output)2.9731574 distance_chess2.119832
 Equal: Falsetimes: 109 distance(final output)2.0035875 distance_chess1.8302377
 Equal: Falsetimes: 114 distance(final output)1.7469283 distance_chess1.3847771
 Equal: Falsetimes: 119 distance(final output)2.0805016 distance_chess1.9135332
 Equal: Falsetimes: 124 distance(final output)1.02207 distance_chess1.0176933
 Equal: Falsetimes: 129 distance(final output)0.8247451 distance_chess0.78071165
 Equal: Falsetimes: 134 distance(final output)0.825062 distance_chess0.6756356
 Equal: Falsetimes: 139 distance(final output)1.9919006 distance_chess1.6743171
 Equal: Falsetimes: 144 distance(final output)1.2636409 distance_chess1.192919
 Equal: Falsetimes: 149 distance(final output)1.3910341 distance_chess1.345716
 Equal: Falsetimes: 154 distance(final output)0.9727197 distance_chess0.9605828
 Equal: Falsetimes: 159 distance(final output)1.6060455 distance_chess1.5406749
 Equal: Falsetimes: 164 distance(final output)2.2680595 distance_chess1.722441
 Equal: Falsetimes: 169 distance(final output)1.6648661 distance_chess1.6224269
 Equal: Falsetimes: 174 distance(final output)2.976556 distance_chess2.9664474
 Equal: Falsetimes: 179 distance(final output)2.789775 distance_chess2.172977
 Equal: Falsetimes: 184 distance(final output)5.206989 distance_chess5.202925
 Equal: Falsetimes: 189 distance(final output)1.346241 distance_chess1.3218479
 Equal: Falsetimes: 194 distance(final output)2.180327 distance_chess1.5716383
 Equal: Falsetimes: 199 distance(final output)3.2995813 distance_chess3.0235958
 Equal: Falsetimes: 204 distance(final output)0.44731754 distance_chess0.41397464
 Equal: Falsetimes: 209 distance(final output)0.3364488 distance_chess0.32639956
 Equal: Falsetimes: 214 distance(final output)0.31350064 distance_chess0.31330708
 Equal: Falsetimes: 219 distance(final output)0.3184752 distance_chess0.29154837
 Equal: Falsetimes: 224 distance(final output)2.1942766 distance_chess2.1714191
 Equal: Falsetimes: 229 distance(final output)1.6886212 distance_chess1.6535116
 Equal: Falsetimes: 234 distance(final output)0.91106504 distance_chess0.8848405
 Equal: Falsetimes: 239 distance(final output)1.1814588 distance_chess1.0767096
 Equal: Falsetimes: 244 distance(final output)2.3261957 distance_chess2.3242595
 Equal: Falsetimes: 249 distance(final output)1.8368976 distance_chess1.8271816
 Equal: Falsetimes: 254 distance(final output)1.5684208 distance_chess1.5684156
 Equal: Falsetimes: 259 distance(final output)0.41684693 distance_chess0.33116162
 Equal: Falsetimes: 264 distance(final output)3.1484048 distance_chess2.8648648
 Equal: Falsetimes: 269 distance(final output)2.0255368 distance_chess2.0248795
 Equal: Falsetimes: 274 distance(final output)2.7561936 distance_chess2.0909977
 Equal: Falsetimes: 279 distance(final output)2.5359688 distance_chess1.9511783
 Equal: Falsetimes: 284 distance(final output)2.4522614 distance_chess2.4106925
 Equal: Falsetimes: 289 distance(final output)2.523202 distance_chess2.355906
 Equal: Falsetimes: 294 distance(final output)3.1172535 distance_chess2.9849875
 Equal: Falsetimes: 299 distance(final output)3.3693416 distance_chess2.9763484
 Equal: Falsetimes: 304 distance(final output)1.1831326 distance_chess0.9076822
 Equal: Falsetimes: 309 distance(final output)2.8536348 distance_chess2.0635636
 Equal: Falsetimes: 314 distance(final output)1.1648016 distance_chess0.8899314
 Equal: Falsetimes: 319 distance(final output)2.6067476 distance_chess2.602637
 Equal: Falsetimes: 324 distance(final output)0.26252696 distance_chess0.26114702
 Equal: Falsetimes: 329 distance(final output)1.9387528 distance_chess1.6899005
 Equal: Falsetimes: 334 distance(final output)2.5158358 distance_chess2.2096934
 Equal: Falsetimes: 339 distance(final output)2.5780387 distance_chess2.1235065
 Equal: Falsetimes: 344 distance(final output)1.7392524 distance_chess1.6876048
 Equal: Falsetimes: 349 distance(final output)1.4366211 distance_chess1.2811564
 Equal: Falsetimes: 354 distance(final output)1.2285697 distance_chess1.2258836
 Equal: Falsetimes: 359 distance(final output)1.0750688 distance_chess0.8963417
 Equal: Falsetimes: 364 distance(final output)2.4808207 distance_chess2.4721189
 Equal: Falsetimes: 369 distance(final output)0.8506876 distance_chess0.6438993
 Equal: Falsetimes: 374 distance(final output)1.282451 distance_chess1.1183717
 Equal: Falsetimes: 379 distance(final output)2.760205 distance_chess2.7552457
 Equal: Falsetimes: 384 distance(final output)3.2017345 distance_chess3.1886764
 Equal: Falsetimes: 389 distance(final output)1.9957839 distance_chess1.720448
 Equal: Falsetimes: 394 distance(final output)1.4261156 distance_chess1.0478864
 Equal: Falsetimes: 399 distance(final output)1.2417399 distance_chess1.2333356
 Equal: Falsetimes: 404 distance(final output)3.1163292 distance_chess3.08775
 Equal: Falsetimes: 409 distance(final output)1.6151986 distance_chess1.609539
 Equal: Falsetimes: 414 distance(final output)2.0129545 distance_chess1.9508995
 Equal: Falsetimes: 419 distance(final output)1.248577 distance_chess1.2483345
 Equal: Falsetimes: 424 distance(final output)0.97987586 distance_chess0.6947549
 Equal: Falsetimes: 429 distance(final output)2.4539921 distance_chess2.3231428
 Equal: Falsetimes: 434 distance(final output)2.4122477 distance_chess2.228979
 Equal: Falsetimes: 439 distance(final output)0.4738487 distance_chess0.4709378
 Equal: Falsetimes: 444 distance(final output)1.7821339 distance_chess1.2807534
 Equal: Falsetimes: 449 distance(final output)1.0418857 distance_chess0.9403339
 Equal: Falsetimes: 454 distance(final output)3.5844095 distance_chess3.5478487
 Equal: Falsetimes: 459 distance(final output)1.7023395 distance_chess1.4199768
 Equal: Falsetimes: 464 distance(final output)1.9188972 distance_chess1.8302634
 Equal: Falsetimes: 469 distance(final output)1.4703072 distance_chess1.3491843
 Equal: Falsetimes: 474 distance(final output)1.1181254 distance_chess1.1176981
 Equal: Falsetimes: 479 distance(final output)1.3552063 distance_chess1.2563812
 Equal: Falsetimes: 484 distance(final output)1.1413697 distance_chess1.1337049
 Equal: Falsetimes: 489 distance(final output)3.1893265 distance_chess3.0618496
 Equal: Falsetimes: 494 distance(final output)2.951279 distance_chess2.9006588
 Equal: Falsetimes: 499 distance(final output)1.341367 distance_chess1.1896462
 Equal: Falsetimes: 504 distance(final output)3.7644546 distance_chess3.5392451
 Equal: Falsetimes: 509 distance(final output)1.2273105 distance_chess0.87548137
 Equal: Falsetimes: 514 distance(final output)1.4198967 distance_chess1.3923738
 Equal: Falsetimes: 519 distance(final output)1.7897633 distance_chess1.7636876
 Equal: Falsetimes: 524 distance(final output)3.6062376 distance_chess2.9163704
 Equal: Falsetimes: 529 distance(final output)2.8970132 distance_chess2.5795188
