times: 4 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 9 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 14 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 19 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 24 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 29 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 34 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 39 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 44 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 49 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 54 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 59 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 64 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 69 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 74 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 79 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 84 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 89 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 94 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 99 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 104 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 109 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 114 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 119 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 124 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 129 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 134 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 139 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 144 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 149 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 154 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 159 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 164 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 169 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 174 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 179 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 184 distance(final output)0.0899404 distance_chess0.02318314
 Equal: Falsetimes: 189 distance(final output)0.0899404 distance_chess0.02318314
